DASYLab - V 13.00.00
Worksheet name: DASYLab
Recording date     : 6-3-2025, 09:45:45
Block length       : 8
Delta              : 0.05 sec.
Number of channels : 11
Measurement time[s];WL1 [V];VEL1 [V];WL2 [V];VEL2 [V];WL3 [V];VEL3 [V];WL4 [V];VEL4 [V];WL5 [V];VEL5 [V];WL6 [V];
0.00;0.28;0.03;0.00;-0.07;0.03;0.03;-0.03;-0.21;-0.02;-0.06;-0.17;
0.05;0.28;0.03;0.00;-0.08;0.03;0.03;-0.01;-0.22;-0.02;-0.07;-0.17;
0.10;0.28;0.02;0.00;-0.09;0.03;0.03;-0.02;-0.22;-0.02;-0.06;-0.18;
0.15;0.28;0.03;0.00;-0.09;0.03;0.03;-0.01;-0.22;-0.02;-0.05;-0.17;
0.20;0.28;0.03;0.00;-0.15;0.03;0.02;-0.02;-0.22;-0.02;-0.06;-0.18;
0.25;0.28;0.03;0.00;-0.16;0.03;0.02;-0.01;-0.22;-0.02;-0.06;-0.17;
0.30;0.28;0.03;0.00;-0.11;0.03;0.02;-0.02;-0.23;-0.02;-0.06;-0.17;
0.35;0.28;0.02;0.00;-0.15;0.03;0.02;-0.01;-0.21;-0.02;-0.05;-0.17;
0.40;0.28;0.03;0.00;-0.15;0.03;0.02;-0.02;-0.22;-0.02;-0.07;-0.17;
0.45;0.28;0.03;0.00;-0.10;0.03;0.02;-0.02;-0.22;-0.02;-0.07;-0.16;
0.50;0.28;0.03;-0.00;-0.12;0.03;0.02;-0.02;-0.22;-0.02;-0.05;-0.17;
0.55;0.28;0.04;0.00;-0.12;0.03;0.03;-0.02;-0.21;-0.02;-0.07;-0.16;
0.60;0.28;0.03;0.00;-0.05;0.03;0.03;-0.01;-0.22;-0.02;-0.08;-0.17;
0.65;0.28;0.03;0.00;-0.06;0.03;0.03;-0.02;-0.22;-0.02;-0.07;-0.17;
0.70;0.28;0.04;0.00;-0.09;0.03;0.03;-0.01;-0.20;-0.02;-0.08;-0.17;
0.75;0.28;0.06;0.00;-0.05;0.03;0.03;-0.02;-0.23;-0.02;-0.07;-0.17;
0.80;0.28;0.05;0.00;-0.05;0.03;0.03;-0.01;-0.21;-0.02;-0.06;-0.17;
0.85;0.28;0.05;0.00;-0.08;0.03;0.03;-0.02;-0.21;-0.02;-0.06;-0.16;
0.90;0.28;0.06;0.00;-0.05;0.03;0.02;-0.01;-0.24;-0.02;-0.07;-0.17;
0.95;0.28;0.06;0.00;-0.05;0.03;0.02;-0.02;-0.24;-0.02;-0.06;-0.16;
1.00;0.28;0.04;0.00;-0.06;0.03;0.03;-0.00;-0.22;-0.02;-0.07;-0.17;
1.05;0.28;0.04;0.00;-0.04;0.03;0.03;-0.02;-0.22;-0.02;-0.07;-0.16;
1.10;0.28;0.03;0.00;-0.05;0.03;0.03;-0.01;-0.19;-0.02;-0.06;-0.17;
1.15;0.28;0.02;0.00;-0.09;0.03;0.02;-0.03;-0.21;-0.02;-0.05;-0.17;
1.20;0.28;0.01;0.00;-0.10;0.03;0.01;-0.00;-0.23;-0.02;-0.06;-0.17;
1.25;0.28;0.02;0.00;-0.10;0.03;0.02;-0.03;-0.22;-0.02;-0.09;-0.17;
1.30;0.28;0.02;0.00;-0.16;0.03;0.01;-0.00;-0.21;-0.02;-0.07;-0.17;
1.35;0.28;0.03;0.00;-0.13;0.03;0.01;-0.03;-0.20;-0.02;-0.07;-0.17;
1.40;0.28;0.04;-0.00;-0.11;0.03;0.02;0.00;-0.21;-0.02;-0.08;-0.17;
1.45;0.28;0.03;-0.00;-0.14;0.03;0.03;-0.03;-0.22;-0.02;-0.07;-0.17;
1.50;0.28;0.03;-0.00;-0.12;0.03;0.04;0.00;-0.22;-0.02;-0.07;-0.17;
1.55;0.28;0.03;0.00;-0.09;0.03;0.03;-0.03;-0.21;-0.02;-0.06;-0.16;
1.60;0.28;0.03;-0.00;-0.12;0.03;0.03;0.00;-0.20;-0.02;-0.06;-0.17;
1.65;0.28;0.04;0.00;-0.10;0.03;0.03;-0.03;-0.24;-0.02;-0.08;-0.16;
1.70;0.28;0.06;0.00;-0.05;0.03;0.03;0.00;-0.24;-0.02;-0.06;-0.16;
1.75;0.28;0.05;0.00;-0.08;0.03;0.02;-0.03;-0.23;-0.02;-0.06;-0.16;
1.80;0.28;0.04;0.00;-0.08;0.03;0.02;0.01;-0.21;-0.02;-0.08;-0.16;
1.85;0.28;0.03;0.00;-0.04;0.03;0.03;-0.03;-0.22;-0.02;-0.08;-0.16;
1.90;0.28;0.03;0.00;-0.07;0.03;0.04;0.01;-0.22;-0.02;-0.07;-0.16;
1.95;0.28;0.05;0.00;-0.07;0.03;0.03;-0.03;-0.21;-0.02;-0.06;-0.16;
2.00;0.28;0.04;-0.00;-0.04;0.03;0.02;0.01;-0.23;-0.02;-0.06;-0.17;
2.05;0.28;0.03;0.00;-0.06;0.03;0.02;-0.03;-0.21;-0.02;-0.07;-0.16;
2.10;0.28;0.03;0.00;-0.08;0.03;0.02;0.01;-0.22;-0.02;-0.06;-0.17;
2.15;0.28;0.03;0.00;-0.06;0.03;0.03;-0.03;-0.20;-0.02;-0.06;-0.17;
2.20;0.28;0.02;0.00;-0.07;0.03;0.03;0.01;-0.21;-0.02;-0.05;-0.17;
2.25;0.28;0.04;0.00;-0.10;0.03;0.03;-0.04;-0.22;-0.02;-0.05;-0.17;
2.30;0.28;0.06;0.00;-0.09;0.03;0.03;0.01;-0.22;-0.02;-0.05;-0.17;
2.35;0.28;0.05;0.00;-0.13;0.03;0.03;-0.04;-0.23;-0.02;-0.06;-0.17;
2.40;0.28;0.04;0.00;-0.16;0.03;0.03;0.01;-0.24;-0.02;-0.07;-0.17;
2.45;0.28;0.07;0.00;-0.11;0.03;0.03;-0.04;-0.22;-0.02;-0.07;-0.16;
2.50;0.28;0.04;-0.00;-0.12;0.03;0.03;0.02;-0.22;-0.02;-0.06;-0.16;
2.55;0.28;0.02;-0.00;-0.14;0.03;0.03;-0.04;-0.22;-0.02;-0.05;-0.16;
2.60;0.28;0.03;-0.00;-0.10;0.03;0.03;0.02;-0.23;-0.02;-0.04;-0.17;
2.65;0.28;0.03;-0.00;-0.10;0.03;0.03;-0.04;-0.20;-0.02;-0.04;-0.17;
2.70;0.28;0.02;-0.00;-0.12;0.03;0.03;0.02;-0.21;-0.02;-0.04;-0.17;
2.75;0.28;0.05;0.00;-0.06;0.03;0.02;-0.04;-0.22;-0.02;-0.04;-0.17;
2.80;0.28;0.05;0.00;-0.04;0.03;0.03;0.02;-0.21;-0.02;-0.05;-0.17;
2.85;0.28;0.05;0.00;-0.08;0.03;0.02;-0.04;-0.23;-0.02;-0.06;-0.17;
2.90;0.28;0.05;0.00;-0.05;0.03;0.03;0.02;-0.23;-0.02;-0.06;-0.17;
2.95;0.28;0.05;0.00;-0.05;0.03;0.04;-0.05;-0.23;-0.02;-0.07;-0.16;
3.00;0.28;0.03;-0.00;-0.08;0.03;0.04;0.02;-0.22;-0.02;-0.07;-0.17;
3.05;0.28;0.04;-0.00;-0.04;0.03;0.04;-0.05;-0.22;-0.02;-0.07;-0.16;
3.10;0.28;0.04;-0.00;-0.03;0.03;0.03;0.02;-0.21;-0.02;-0.07;-0.17;
3.15;0.28;0.04;0.00;-0.06;0.03;0.04;-0.05;-0.21;-0.02;-0.08;-0.17;
3.20;0.28;0.02;-0.00;-0.05;0.03;0.04;0.01;-0.20;-0.02;-0.07;-0.17;
3.25;0.28;0.02;0.00;-0.07;0.03;0.03;-0.06;-0.22;-0.02;-0.05;-0.17;
3.30;0.28;0.03;0.00;-0.12;0.03;0.03;0.01;-0.21;-0.02;-0.03;-0.18;
3.35;0.28;0.03;0.00;-0.12;0.03;0.03;-0.07;-0.22;-0.02;-0.06;-0.17;
3.40;0.28;0.05;0.00;-0.10;0.03;0.03;-0.00;-0.22;-0.02;-0.09;-0.18;
3.45;0.28;0.04;0.00;-0.16;0.03;0.02;-0.08;-0.22;-0.02;-0.09;-0.17;
3.50;0.28;0.04;-0.00;-0.14;0.03;0.02;-0.01;-0.21;-0.02;-0.07;-0.17;
3.55;0.28;0.02;-0.00;-0.09;0.03;0.03;-0.08;-0.21;-0.02;-0.05;-0.16;
3.60;0.28;0.02;-0.00;-0.14;0.02;0.04;-0.01;-0.24;-0.02;-0.06;-0.17;
3.65;0.28;0.05;-0.00;-0.13;0.02;0.02;-0.09;-0.22;-0.02;-0.08;-0.16;
3.70;0.28;0.05;-0.00;-0.09;0.02;0.02;-0.02;-0.24;-0.02;-0.07;-0.17;
3.75;0.28;0.04;0.00;-0.12;0.03;0.03;-0.09;-0.23;-0.02;-0.07;-0.16;
3.80;0.28;0.03;0.00;-0.11;0.03;0.03;-0.02;-0.21;-0.02;-0.08;-0.17;
3.85;0.28;0.04;0.00;-0.06;0.03;0.03;-0.10;-0.20;-0.02;-0.08;-0.16;
3.90;0.28;0.03;0.00;-0.08;0.03;0.02;-0.03;-0.21;-0.02;-0.07;-0.17;
3.95;0.28;0.03;0.00;-0.09;0.03;0.02;-0.11;-0.22;-0.02;-0.07;-0.16;
4.00;0.28;0.02;-0.00;-0.04;0.03;0.03;-0.03;-0.22;-0.02;-0.07;-0.17;
4.05;0.28;0.03;0.00;-0.06;0.03;0.02;-0.12;-0.21;-0.02;-0.07;-0.16;
4.10;0.28;0.03;-0.00;-0.06;0.03;0.02;-0.03;-0.23;-0.02;-0.05;-0.17;
4.15;0.28;0.04;0.00;-0.03;0.03;0.02;-0.12;-0.24;-0.02;-0.06;-0.16;
4.20;0.28;0.05;-0.00;-0.06;0.03;0.04;-0.04;-0.24;-0.02;-0.07;-0.18;
4.25;0.28;0.04;0.00;-0.05;0.03;0.03;-0.13;-0.22;-0.02;-0.06;-0.17;
4.30;0.28;0.03;0.00;-0.04;0.03;0.02;-0.04;-0.21;-0.02;-0.07;-0.19;
4.35;0.28;0.05;0.00;-0.06;0.03;0.03;-0.14;-0.22;-0.02;-0.05;-0.17;
4.40;0.28;0.05;0.00;-0.09;0.03;0.03;-0.05;-0.23;-0.02;-0.06;-0.18;
4.45;0.28;0.02;0.00;-0.08;0.03;0.02;-0.15;-0.21;-0.02;-0.06;-0.17;
4.50;0.28;0.02;0.00;-0.10;0.03;0.04;-0.06;-0.22;-0.02;-0.06;-0.18;
4.55;0.28;0.02;0.00;-0.15;0.03;0.03;-0.16;-0.21;-0.02;-0.06;-0.16;
4.60;0.28;0.02;-0.00;-0.11;0.03;0.03;-0.06;-0.21;-0.02;-0.06;-0.18;
4.65;0.28;0.01;-0.00;-0.13;0.03;0.03;-0.16;-0.21;-0.02;-0.05;-0.16;
4.70;0.28;0.02;-0.00;-0.16;0.03;0.03;-0.07;-0.22;-0.02;-0.06;-0.18;
4.75;0.28;0.04;0.00;-0.11;0.03;0.04;-0.17;-0.23;-0.02;-0.06;-0.16;
4.80;0.28;0.04;-0.00;-0.11;0.03;0.04;-0.07;-0.20;-0.02;-0.05;-0.18;
4.85;0.28;0.04;0.00;-0.14;0.03;0.04;-0.18;-0.20;-0.02;-0.04;-0.16;
4.90;0.28;0.04;-0.00;-0.08;0.03;0.03;-0.08;-0.21;-0.02;-0.06;-0.18;
4.95;0.28;0.04;0.00;-0.07;0.03;0.04;-0.19;-0.24;-0.02;-0.05;-0.16;
5.00;0.28;0.05;-0.00;-0.10;0.03;0.05;-0.09;-0.20;-0.02;-0.07;-0.18;
5.05;0.28;0.02;0.00;-0.08;0.03;0.04;-0.19;-0.20;-0.02;-0.07;-0.16;
5.10;0.28;0.02;-0.00;-0.06;0.03;0.04;-0.09;-0.20;-0.02;-0.07;-0.18;
5.15;0.28;0.04;0.00;-0.08;0.03;0.03;-0.20;-0.22;-0.02;-0.06;-0.16;
5.20;0.28;0.05;-0.00;-0.04;0.02;0.03;-0.09;-0.22;-0.02;-0.04;-0.18;
5.25;0.28;0.05;0.00;-0.04;0.03;0.03;-0.21;-0.22;-0.02;-0.05;-0.16;
5.30;0.28;0.03;-0.00;-0.06;0.03;0.04;-0.10;-0.22;-0.02;-0.05;-0.18;
5.35;0.28;0.01;0.00;-0.05;0.03;0.04;-0.21;-0.23;-0.02;-0.06;-0.16;
5.40;0.28;0.03;-0.00;-0.06;0.03;0.03;-0.11;-0.24;-0.02;-0.05;-0.18;
5.45;0.28;0.04;0.00;-0.09;0.03;0.03;-0.22;-0.23;-0.02;-0.05;-0.16;
5.50;0.28;0.05;-0.00;-0.09;0.03;0.02;-0.11;-0.23;-0.02;-0.06;-0.18;
5.55;0.28;0.05;0.00;-0.09;0.03;0.02;-0.23;-0.23;-0.02;-0.06;-0.16;
5.60;0.28;0.03;-0.00;-0.15;0.03;0.02;-0.12;-0.22;-0.02;-0.07;-0.18;
5.65;0.28;0.06;0.00;-0.15;0.03;0.02;-0.23;-0.22;-0.02;-0.08;-0.16;
5.70;0.28;0.04;-0.00;-0.09;0.03;0.02;-0.12;-0.22;-0.02;-0.05;-0.18;
5.75;0.28;0.03;0.00;-0.14;0.03;0.02;-0.24;-0.22;-0.02;-0.05;-0.16;
5.80;0.28;0.03;-0.00;-0.14;0.02;0.03;-0.13;-0.23;-0.02;-0.05;-0.18;
5.85;0.28;0.03;0.00;-0.10;0.03;0.03;-0.24;-0.22;-0.02;-0.06;-0.16;
5.90;0.28;0.03;-0.00;-0.13;0.03;0.02;-0.13;-0.22;-0.02;-0.06;-0.18;
5.95;0.28;0.03;0.00;-0.13;0.03;0.00;-0.25;-0.23;-0.02;-0.06;-0.16;
6.00;0.28;0.03;-0.00;-0.08;0.03;0.02;-0.14;-0.25;-0.02;-0.08;-0.18;
6.05;0.28;0.05;0.00;-0.10;0.03;0.03;-0.26;-0.23;-0.02;-0.06;-0.16;
6.10;0.28;0.04;-0.00;-0.10;0.03;0.04;-0.15;-0.23;-0.02;-0.07;-0.18;
6.15;0.28;0.04;0.00;-0.03;0.03;0.05;-0.26;-0.23;-0.02;-0.08;-0.16;
6.20;0.28;0.05;-0.00;-0.06;0.03;0.05;-0.15;-0.22;-0.02;-0.06;-0.19;
6.25;0.28;0.06;0.00;-0.06;0.03;0.03;-0.27;-0.23;-0.02;-0.06;-0.16;
6.30;0.28;0.04;-0.00;-0.02;0.03;0.03;-0.15;-0.23;-0.02;-0.06;-0.19;
6.35;0.28;0.03;0.00;-0.05;0.02;0.03;-0.27;-0.24;-0.02;-0.05;-0.17;
6.40;0.28;0.06;-0.00;-0.06;0.02;0.03;-0.16;-0.21;-0.02;-0.06;-0.19;
6.45;0.28;0.06;0.00;-0.05;0.03;0.01;-0.28;-0.22;-0.02;-0.07;-0.16;
6.50;0.28;0.04;-0.00;-0.06;0.03;0.01;-0.17;-0.22;-0.02;-0.06;-0.18;
6.55;0.28;0.04;0.00;-0.07;0.03;0.03;-0.29;-0.22;-0.02;-0.07;-0.16;
