DASYLab - V 13.00.00
Worksheet name: DASYLab
Recording date     : 6-3-2025, 10:01:34
Block length       : 8
Delta              : 0.05 sec.
Number of channels : 11
Measurement time[s];WL1 [V];VEL1 [V];WL2 [V];VEL2 [V];WL3 [V];VEL3 [V];WL4 [V];VEL4 [V];WL5 [V];VEL5 [V];WL6 [V];
0.00;0.28;0.04;-0.01;-0.03;0.00;0.06;-0.22;-0.18;-0.04;-0.01;-0.24;
0.05;0.28;0.04;-0.01;-0.05;0.00;0.05;-0.03;-0.16;-0.04;-0.04;-0.25;
0.10;0.28;0.04;-0.01;-0.04;0.00;0.04;-0.22;-0.17;-0.04;-0.00;-0.24;
0.15;0.28;0.05;-0.01;-0.10;0.00;0.04;-0.03;-0.18;-0.04;-0.00;-0.25;
0.20;0.28;0.03;-0.01;-0.07;0.00;0.05;-0.22;-0.18;-0.04;-0.01;-0.24;
0.25;0.28;0.03;-0.01;-0.05;0.00;0.06;-0.03;-0.18;-0.04;-0.01;-0.25;
0.30;0.28;0.04;-0.01;-0.10;0.00;0.07;-0.22;-0.20;-0.04;-0.01;-0.24;
0.35;0.28;0.05;-0.01;-0.07;0.00;0.06;-0.03;-0.18;-0.04;-0.01;-0.25;
0.40;0.27;0.04;-0.01;-0.09;0.00;0.05;-0.22;-0.17;-0.04;-0.02;-0.24;
0.45;0.28;0.03;-0.01;-0.10;0.00;0.04;-0.03;-0.19;-0.04;-0.00;-0.25;
0.50;0.28;0.03;-0.01;-0.05;0.00;0.05;-0.22;-0.18;-0.04;-0.01;-0.24;
0.55;0.28;0.06;-0.01;-0.08;0.00;0.07;-0.02;-0.16;-0.04;-0.00;-0.25;
0.60;0.28;0.04;-0.01;-0.07;0.00;0.07;-0.21;-0.17;-0.04;-0.01;-0.24;
0.65;0.28;0.04;-0.01;-0.06;0.00;0.05;-0.02;-0.18;-0.04;-0.01;-0.25;
0.70;0.28;0.06;-0.01;-0.07;0.00;0.04;-0.21;-0.19;-0.04;-0.02;-0.24;
0.75;0.28;0.05;-0.01;-0.03;0.00;0.04;-0.02;-0.18;-0.04;-0.01;-0.25;
0.80;0.27;0.04;-0.01;-0.01;0.00;0.05;-0.20;-0.18;-0.04;-0.01;-0.24;
0.85;0.28;0.03;-0.01;0.00;0.00;0.05;-0.02;-0.18;-0.04;-0.00;-0.25;
0.90;0.27;0.04;-0.01;-0.01;0.00;0.05;-0.20;-0.18;-0.04;0.00;-0.24;
0.95;0.28;0.03;-0.01;-0.03;0.00;0.05;-0.01;-0.21;-0.04;0.00;-0.25;
