DASYLab - V 13.00.00
Worksheet name: DASYLab
Recording date     : 6-3-2025, 10:40:31
Block length       : 8
Delta              : 0.05 sec.
Number of channels : 11
Measurement time[s];WL1 [V];VEL1 [V];WL2 [V];VEL2 [V];WL3 [V];VEL3 [V];WL4 [V];VEL4 [V];WL5 [V];VEL5 [V];WL6 [V];
0.00;0.22;0.09;-0.07;-0.08;-0.06;0.14;0.05;-0.12;-0.10;0.00;-0.53;
0.05;0.22;0.09;-0.07;-0.06;-0.05;0.14;-0.08;-0.14;-0.10;0.03;-0.55;
0.10;0.22;0.10;-0.07;-0.05;-0.05;0.14;0.05;-0.14;-0.10;0.03;-0.53;
0.15;0.22;0.11;-0.08;-0.08;-0.05;0.14;-0.09;-0.14;-0.10;0.01;-0.55;
0.20;0.22;0.10;-0.07;-0.04;-0.05;0.15;0.05;-0.15;-0.10;-0.01;-0.53;
0.25;0.22;0.10;-0.07;-0.06;-0.06;0.14;-0.09;-0.14;-0.10;-0.01;-0.54;
0.30;0.22;0.09;-0.07;-0.07;-0.06;0.15;0.04;-0.13;-0.10;-0.01;-0.52;
0.35;0.22;0.08;-0.07;-0.03;-0.06;0.15;-0.09;-0.14;-0.10;-0.00;-0.54;
0.40;0.22;0.08;-0.07;-0.02;-0.06;0.15;0.04;-0.14;-0.10;0.01;-0.52;
0.45;0.22;0.08;-0.08;-0.01;-0.06;0.14;-0.09;-0.15;-0.10;-0.02;-0.55;
0.50;0.22;0.08;-0.08;-0.02;-0.06;0.14;0.04;-0.15;-0.10;-0.00;-0.54;
0.55;0.22;0.09;-0.08;0.01;-0.05;0.13;-0.09;-0.13;-0.10;0.02;-0.56;
0.60;0.22;0.09;-0.07;0.02;-0.05;0.12;0.04;-0.13;-0.10;0.03;-0.54;
0.65;0.22;0.10;-0.07;0.02;-0.06;0.13;-0.08;-0.13;-0.10;0.02;-0.56;
0.70;0.22;0.11;-0.06;0.07;-0.06;0.13;0.05;-0.13;-0.10;-0.00;-0.53;
0.75;0.22;0.12;-0.06;0.02;-0.05;0.13;-0.07;-0.14;-0.10;-0.02;-0.54;
0.80;0.22;0.10;-0.07;-0.02;-0.05;0.14;0.05;-0.15;-0.10;-0.01;-0.52;
0.85;0.22;0.09;-0.08;0.02;-0.05;0.15;-0.08;-0.14;-0.10;0.01;-0.54;
0.90;0.22;0.08;-0.08;-0.03;-0.05;0.16;0.03;-0.15;-0.10;0.00;-0.51;
0.95;0.22;0.10;-0.09;-0.01;-0.05;0.14;-0.09;-0.15;-0.10;0.00;-0.54;
1.00;0.22;0.10;-0.08;-0.01;-0.06;0.14;0.03;-0.14;-0.10;0.01;-0.52;
1.05;0.22;0.10;-0.08;-0.04;-0.06;0.14;-0.08;-0.13;-0.10;0.00;-0.55;
1.10;0.22;0.10;-0.07;-0.02;-0.06;0.14;0.05;-0.12;-0.10;-0.02;-0.54;
1.15;0.22;0.09;-0.07;-0.08;-0.06;0.14;-0.06;-0.15;-0.10;-0.01;-0.56;
1.20;0.22;0.09;-0.06;-0.08;-0.06;0.14;0.05;-0.14;-0.10;-0.00;-0.53;
1.25;0.22;0.08;-0.07;-0.04;-0.05;0.15;-0.07;-0.13;-0.10;0.00;-0.54;
1.30;0.22;0.10;-0.07;-0.08;-0.06;0.15;0.04;-0.13;-0.10;0.00;-0.51;
1.35;0.22;0.10;-0.08;-0.06;-0.06;0.14;-0.08;-0.15;-0.10;0.00;-0.53;
1.40;0.21;0.09;-0.08;-0.06;-0.05;0.13;0.02;-0.14;-0.10;0.00;-0.51;
1.45;0.21;0.10;-0.08;-0.09;-0.05;0.13;-0.09;-0.11;-0.10;0.01;-0.53;
1.50;0.22;0.09;-0.07;-0.05;-0.05;0.13;0.03;-0.13;-0.10;0.02;-0.52;
1.55;0.22;0.10;-0.07;-0.06;-0.05;0.14;-0.07;-0.13;-0.10;0.00;-0.55;
1.60;0.23;0.10;-0.07;-0.05;-0.06;0.14;0.04;-0.13;-0.10;-0.01;-0.54;
1.65;0.23;0.09;-0.08;-0.02;-0.06;0.14;-0.07;-0.13;-0.10;0.00;-0.56;
1.70;0.23;0.10;-0.08;-0.03;-0.06;0.14;0.03;-0.14;-0.10;-0.00;-0.54;
1.75;0.22;0.10;-0.08;-0.03;-0.06;0.13;-0.08;-0.14;-0.10;-0.02;-0.55;
1.80;0.22;0.10;-0.07;-0.00;-0.06;0.14;0.03;-0.14;-0.10;-0.01;-0.52;
1.85;0.21;0.10;-0.07;0.05;-0.06;0.15;-0.07;-0.13;-0.10;0.00;-0.55;
1.90;0.21;0.11;-0.06;0.05;-0.06;0.15;0.03;-0.12;-0.10;-0.01;-0.54;
1.95;0.21;0.10;-0.07;0.01;-0.05;0.14;-0.07;-0.12;-0.10;-0.01;-0.56;
2.00;0.22;0.10;-0.07;0.05;-0.05;0.13;0.02;-0.12;-0.10;0.01;-0.54;
2.05;0.22;0.09;-0.08;0.01;-0.06;0.13;-0.08;-0.11;-0.10;0.01;-0.54;
2.10;0.23;0.10;-0.08;-0.00;-0.06;0.15;0.03;-0.12;-0.10;-0.01;-0.50;
2.15;0.23;0.09;-0.08;0.04;-0.06;0.15;-0.07;-0.14;-0.10;-0.02;-0.51;
2.20;0.22;0.10;-0.07;-0.01;-0.06;0.15;0.03;-0.15;-0.10;-0.00;-0.49;
2.25;0.22;0.12;-0.07;-0.01;-0.06;0.14;-0.07;-0.15;-0.10;-0.01;-0.53;
2.30;0.22;0.12;-0.07;-0.02;-0.05;0.14;0.03;-0.14;-0.10;0.00;-0.53;
2.35;0.21;0.10;-0.07;-0.06;-0.05;0.15;-0.07;-0.15;-0.11;-0.01;-0.57;
2.40;0.22;0.10;-0.07;-0.02;-0.05;0.14;0.02;-0.14;-0.11;0.00;-0.56;
2.45;0.22;0.10;-0.07;-0.06;-0.05;0.14;-0.07;-0.14;-0.11;-0.00;-0.58;
2.50;0.22;0.09;-0.07;-0.07;-0.05;0.15;0.02;-0.16;-0.10;-0.01;-0.55;
2.55;0.22;0.09;-0.08;-0.05;-0.06;0.14;-0.07;-0.16;-0.10;0.00;-0.55;
2.60;0.22;0.11;-0.08;-0.09;-0.06;0.14;0.03;-0.14;-0.10;0.01;-0.51;
2.65;0.22;0.11;-0.07;-0.07;-0.06;0.13;-0.06;-0.13;-0.10;-0.01;-0.52;
2.70;0.22;0.09;-0.07;-0.05;-0.07;0.12;0.03;-0.13;-0.10;-0.01;-0.50;
2.75;0.21;0.11;-0.07;-0.08;-0.06;0.13;-0.06;-0.15;-0.10;-0.02;-0.54;
2.80;0.22;0.11;-0.07;-0.05;-0.06;0.15;0.02;-0.16;-0.10;-0.01;-0.54;
2.85;0.22;0.11;-0.07;-0.06;-0.05;0.14;-0.06;-0.14;-0.10;-0.01;-0.57;
2.90;0.22;0.10;-0.08;-0.06;-0.05;0.14;0.02;-0.16;-0.10;0.00;-0.56;
2.95;0.22;0.09;-0.08;-0.03;-0.05;0.14;-0.07;-0.14;-0.10;0.00;-0.57;
3.00;0.22;0.10;-0.07;-0.04;-0.05;0.14;0.02;-0.12;-0.10;-0.00;-0.54;
3.05;0.22;0.11;-0.07;-0.03;-0.06;0.15;-0.06;-0.13;-0.10;-0.00;-0.54;
3.10;0.22;0.09;-0.07;-0.02;-0.06;0.15;0.02;-0.12;-0.10;-0.01;-0.51;
3.15;0.23;0.10;-0.07;0.01;-0.06;0.14;-0.05;-0.12;-0.10;0.00;-0.53;
3.20;0.23;0.10;-0.07;0.01;-0.06;0.13;0.02;-0.14;-0.10;0.00;-0.52;
3.25;0.22;0.10;-0.08;0.02;-0.06;0.14;-0.06;-0.15;-0.10;-0.01;-0.54;
3.30;0.22;0.10;-0.08;0.07;-0.06;0.14;0.02;-0.17;-0.10;-0.02;-0.53;
3.35;0.21;0.10;-0.08;0.04;-0.05;0.14;-0.06;-0.13;-0.10;-0.01;-0.56;
3.40;0.21;0.10;-0.08;0.01;-0.05;0.14;0.01;-0.13;-0.10;-0.00;-0.54;
3.45;0.21;0.11;-0.07;0.03;-0.06;0.13;-0.05;-0.14;-0.10;0.01;-0.56;
3.50;0.22;0.11;-0.07;-0.03;-0.06;0.14;0.02;-0.13;-0.10;0.04;-0.54;
3.55;0.22;0.12;-0.06;-0.02;-0.05;0.14;-0.06;-0.13;-0.10;0.04;-0.55;
