DASYLab - V 13.00.00
Worksheet name: DASYLab
Recording date     : 6-3-2025, 10:54:23
Block length       : 8
Delta              : 0.05 sec.
Number of channels : 11
Measurement time[s];WL1 [V];VEL1 [V];WL2 [V];VEL2 [V];WL3 [V];VEL3 [V];WL4 [V];VEL4 [V];WL5 [V];VEL5 [V];WL6 [V];
0.00;0.18;0.11;-0.13;-0.00;-0.09;0.12;-0.03;-0.15;-0.14;0.02;-0.80;
0.05;0.18;0.12;-0.13;-0.05;-0.11;0.12;-0.19;-0.13;-0.15;0.00;-0.77;
0.10;0.19;0.11;-0.13;-0.06;-0.11;0.11;-0.03;-0.15;-0.15;-0.01;-0.79;
0.15;0.20;0.11;-0.12;-0.06;-0.10;0.10;-0.19;-0.17;-0.14;-0.03;-0.75;
0.20;0.20;0.12;-0.11;-0.10;-0.10;0.11;-0.03;-0.17;-0.14;-0.01;-0.74;
0.25;0.19;0.12;-0.11;-0.06;-0.11;0.11;-0.20;-0.17;-0.15;-0.00;-0.70;
0.30;0.19;0.12;-0.11;-0.09;-0.09;0.11;-0.04;-0.15;-0.15;-0.01;-0.70;
0.35;0.18;0.11;-0.11;-0.09;-0.08;0.12;-0.20;-0.15;-0.16;-0.01;-0.69;
0.40;0.18;0.10;-0.11;-0.05;-0.08;0.12;-0.01;-0.16;-0.15;-0.01;-0.74;
0.45;0.17;0.11;-0.11;-0.07;-0.09;0.11;-0.18;-0.15;-0.14;-0.00;-0.76;
0.50;0.17;0.11;-0.11;-0.05;-0.09;0.10;-0.03;-0.11;-0.14;0.00;-0.82;
0.55;0.17;0.12;-0.11;-0.02;-0.10;0.11;-0.21;-0.12;-0.14;-0.00;-0.82;
0.60;0.18;0.12;-0.11;0.02;-0.10;0.11;-0.03;-0.15;-0.14;-0.02;-0.82;
0.65;0.18;0.12;-0.11;0.01;-0.10;0.11;-0.22;-0.14;-0.14;-0.02;-0.77;
0.70;0.19;0.13;-0.12;0.00;-0.10;0.11;-0.05;-0.14;-0.14;-0.02;-0.74;
0.75;0.19;0.13;-0.12;0.03;-0.10;0.11;-0.22;-0.15;-0.14;-0.01;-0.69;
0.80;0.20;0.13;-0.12;-0.01;-0.10;0.11;-0.03;-0.14;-0.15;0.02;-0.71;
0.85;0.19;0.12;-0.11;-0.02;-0.10;0.11;-0.21;-0.15;-0.15;0.02;-0.71;
0.90;0.19;0.11;-0.11;-0.02;-0.10;0.12;-0.04;-0.18;-0.15;0.01;-0.77;
0.95;0.18;0.11;-0.11;-0.07;-0.09;0.12;-0.22;-0.16;-0.15;-0.02;-0.79;
1.00;0.17;0.12;-0.11;-0.04;-0.09;0.10;-0.04;-0.14;-0.15;-0.03;-0.84;
1.05;0.17;0.14;-0.11;-0.07;-0.08;0.10;-0.22;-0.14;-0.14;-0.03;-0.81;
1.10;0.18;0.15;-0.12;-0.07;-0.08;0.11;-0.04;-0.14;-0.13;-0.03;-0.80;
1.15;0.18;0.12;-0.12;-0.04;-0.09;0.11;-0.22;-0.13;-0.13;-0.00;-0.73;
1.20;0.19;0.13;-0.12;-0.09;-0.11;0.11;-0.05;-0.14;-0.14;-0.01;-0.72;
1.25;0.19;0.14;-0.11;-0.08;-0.11;0.11;-0.23;-0.16;-0.16;-0.03;-0.70;
1.30;0.19;0.14;-0.11;-0.07;-0.10;0.11;-0.04;-0.15;-0.16;-0.02;-0.74;
1.35;0.18;0.13;-0.10;-0.11;-0.09;0.11;-0.22;-0.14;-0.15;-0.01;-0.75;
1.40;0.18;0.13;-0.10;-0.08;-0.09;0.10;-0.03;-0.17;-0.14;-0.01;-0.80;
1.45;0.18;0.13;-0.10;-0.07;-0.10;0.10;-0.23;-0.17;-0.13;-0.02;-0.79;
1.50;0.18;0.13;-0.11;-0.05;-0.10;0.11;-0.05;-0.14;-0.13;-0.02;-0.79;
1.55;0.18;0.12;-0.12;-0.02;-0.09;0.11;-0.24;-0.16;-0.14;-0.01;-0.75;
1.60;0.18;0.11;-0.12;0.01;-0.09;0.11;-0.06;-0.15;-0.15;-0.03;-0.75;
1.65;0.18;0.11;-0.12;0.01;-0.10;0.11;-0.25;-0.15;-0.15;-0.02;-0.72;
1.70;0.18;0.13;-0.12;-0.03;-0.09;0.11;-0.06;-0.14;-0.15;0.01;-0.75;
1.75;0.18;0.14;-0.12;0.02;-0.09;0.12;-0.23;-0.14;-0.14;0.01;-0.74;
1.80;0.19;0.13;-0.12;0.01;-0.10;0.12;-0.04;-0.15;-0.14;-0.03;-0.78;
1.85;0.19;0.11;-0.11;-0.03;-0.10;0.11;-0.23;-0.15;-0.14;-0.02;-0.76;
1.90;0.19;0.11;-0.10;0.01;-0.10;0.11;-0.05;-0.15;-0.15;-0.01;-0.78;
1.95;0.19;0.11;-0.09;-0.03;-0.10;0.12;-0.25;-0.15;-0.15;-0.01;-0.74;
2.00;0.19;0.11;-0.10;-0.03;-0.10;0.11;-0.08;-0.14;-0.15;0.00;-0.76;
